2026-02-27 00:48:34 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:48:54 | INFO | [CYCLE] tick() entered
2026-02-27 00:48:54 | INFO | [TICK] Tick running
2026-02-27 00:48:54 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:49:14 | INFO | [CYCLE] tick() entered
2026-02-27 00:49:14 | INFO | [TICK] Tick running
2026-02-27 00:49:14 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:49:34 | INFO | [CYCLE] tick() entered
2026-02-27 00:49:34 | INFO | [TICK] Tick running
2026-02-27 00:49:34 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:49:54 | INFO | [CYCLE] tick() entered
2026-02-27 00:49:54 | INFO | [TICK] Tick running
2026-02-27 00:49:54 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:50:14 | INFO | [CYCLE] tick() entered
2026-02-27 00:50:14 | INFO | [TICK] Tick running
2026-02-27 00:50:14 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:50:34 | INFO | [CYCLE] tick() entered
2026-02-27 00:50:34 | INFO | [TICK] Tick running
2026-02-27 00:50:34 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:50:54 | INFO | [CYCLE] tick() entered
2026-02-27 00:50:54 | INFO | [TICK] Tick running
2026-02-27 00:50:54 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:51:14 | INFO | [CYCLE] tick() entered
2026-02-27 00:51:14 | INFO | [TICK] Tick running
2026-02-27 00:51:34 | INFO | [CYCLE] tick() entered
2026-02-27 00:51:34 | INFO | [TICK] Tick running
2026-02-27 00:51:54 | INFO | [CYCLE] tick() entered
2026-02-27 00:51:54 | INFO | [TICK] Tick running
2026-02-27 00:52:14 | INFO | [CYCLE] tick() entered
2026-02-27 00:52:14 | INFO | [TICK] Tick running
2026-02-27 00:52:34 | INFO | [CYCLE] tick() entered
2026-02-27 00:52:34 | INFO | [TICK] Tick running
2026-02-27 00:52:54 | INFO | [CYCLE] tick() entered
2026-02-27 00:52:54 | INFO | [TICK] Tick running
2026-02-27 00:53:14 | INFO | [CYCLE] tick() entered
2026-02-27 00:53:14 | INFO | [TICK] Tick running
2026-02-27 00:53:34 | INFO | [CYCLE] tick() entered
2026-02-27 00:53:34 | INFO | [TICK] Tick running
2026-02-27 00:53:54 | INFO | [CYCLE] tick() entered
2026-02-27 00:53:54 | INFO | [TICK] Tick running
2026-02-27 00:54:14 | INFO | [CYCLE] tick() entered
2026-02-27 00:54:14 | INFO | [TICK] Tick running
2026-02-27 00:54:34 | INFO | [CYCLE] tick() entered
2026-02-27 00:54:34 | INFO | [TICK] Tick running
2026-02-27 00:54:54 | INFO | [CYCLE] tick() entered
2026-02-27 00:54:54 | INFO | [TICK] Tick running
2026-02-27 00:55:14 | INFO | [CYCLE] tick() entered
2026-02-27 00:55:14 | INFO | [TICK] Tick running
2026-02-27 00:55:34 | INFO | [CYCLE] tick() entered
2026-02-27 00:55:34 | INFO | [TICK] Tick running
2026-02-27 01:02:44 | INFO | [BOT] Telegram bot started
2026-02-27 01:02:44 | INFO | [LOOP] Trading loop started
2026-02-27 01:02:44 | INFO | [CYCLE] tick() entered
2026-02-27 01:02:44 | INFO | [TICK] Tick running
2026-02-27 01:02:44 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:02:44 | INFO | [NIGHT] Night scheduler active
2026-02-27 01:02:44 | INFO | [NIGHT] Auto scheduler triggering night research
2026-02-27 01:02:44 | INFO | [NIGHT] Night research started
2026-02-27 01:02:51 | INFO | [NIGHT] Universe live updated: 8 | scored=8 | errors=0
